Wavelength,c
455.0106355,0.994362114
455.3774986,1.001127555
455.7443203,0.997864089
456.1111005,0.997996406
456.4778393,1.011907122
456.8445366,1.015276615
457.2111924,1.010454136
457.5778068,1.001360696
457.9443796,1.0080753
458.310911,1.008711513
458.6774008,1.004201992
459.0438491,0.993884354
459.4102559,0.999619018
459.7766212,1.017067187
460.1429449,1.006541956
460.5092271,1.006458025
460.8754677,1.01723897
461.2416667,1.017242113
461.6078242,1.011245515
461.97394,1.021099437
462.3400143,1.009385292
462.706047,0.997205807
463.072038,0.995873143
463.4379874,0.999363216
463.8038952,1.009443198
464.1697614,1.012774235
464.5355858,1.012025444
464.9013687,0.999083868
465.2671098,1.016499608
465.6328093,0.999162946
465.9984671,1.013537245
466.3640832,1.009685286
466.7296576,1.019265467
467.0951903,1.012696875
467.4606813,1.006256878
467.8261305,1.008043531
468.191538,1.003570055
468.5569038,1.008174162
468.9222278,1.011186111
469.28751,1.017609367
469.6527505,1.01021458
470.0179492,1.004087048
470.383106,1.00714893
470.7482211,1.002742648
471.1132944,1.002420274
471.4783259,1.008170008
471.8433155,1.014134068
472.2082633,1.014139457
472.5731692,1.013692901
472.9380333,1.001696439
473.3028556,1.001974284
473.6676359,1.002212337
474.0323744,1.012955186
474.397071,1.007296851
474.7617257,1.008114948
475.1263385,1.00375525
475.4909094,1.002568704
475.8554383,1.008024525
476.2199253,1.018302657
476.5843704,0.999943514
476.9487735,1.006639243
477.3131347,0.999926675
477.6774539,1.006985587
478.0417311,1.013389948
478.4059664,0.999246238
478.7701596,1.014696042
479.1343109,1.001991469
479.4984201,1.005453197
479.8624873,1.013689548
480.2265125,1.009643331
480.5904956,1.010022157
480.9544367,1.007324399
481.3183358,1.014510766
481.6821927,1.005905923
482.0460076,1.00477316
482.4097805,1.008438885
482.7735112,1.003440991
483.1371998,1.005508238
483.5008463,1.016629513
483.8644507,1.011055714
484.228013,1.005163221
484.5915331,1.010376646
484.9550111,1.005462189
485.318447,1.011625497
485.6818407,1.01116725
486.0451922,1.010918804
486.4085015,1.006517909
486.7717687,1.011334206
487.1349936,1.001407318
487.4981763,1.001335288
487.8613169,1.003626605
488.2244152,1.008806882
488.5874712,1.006372205
488.9504851,1.005774078
489.3134567,1.002586318
489.676386,1.00680265
490.039273,1.008099639
490.4021178,1.00343706
490.7649203,1.000877907
491.1276805,0.999856854
491.4903984,0.997361281
491.853074,1.002568936
492.2157073,1.001328506
492.5782982,1.004918996
492.9408468,1.002748243
493.3033531,1.005711228
493.665817,1.00270602
494.0282385,1.011205929
494.3906177,1.000890407
494.7529544,1.000868812
495.1152488,1.001236054
495.4775008,1.002970729
495.8397104,1.002397611
496.2018776,1.002789016
496.5640023,1.005170966
496.9260846,0.998046585
497.2881245,1.004590727
497.6501219,1.004752433
498.0120768,1.000948529
498.3739893,1.005760631
498.7358593,1.01056909
499.0976868,1.002085421
499.4594718,1.001132086
499.8212143,1.005767396
500.1829143,1.005859685
500.5445718,1.002738436
500.9061867,1.001826277
501.2677591,1.008187552
501.629289,1.009928585
501.9907763,1.004097388
502.352221,1.004877859
502.7136232,1.008031309
503.0749827,1.004495825
503.4362997,1.006003054
503.7975741,1.000074742
504.1588058,1.003583892
504.519995,1.006681988
504.8811415,1.002644216
505.2422454,1.005181176
505.6033066,1.001876416
505.9643252,1.009868305
506.3253011,1.006539181
506.6862343,1.00851837
507.0471249,1.003271705
507.4079727,1.004699441
507.7687779,1.001078239
508.1295404,1.000260412
508.4902601,1.002719438
508.8509371,1.000286154
509.2115714,1.006085326
509.572163,1.001827029
509.9327118,1.003798263
510.2932178,1.000747556
510.653681,1.000861349
511.0141015,0.999560767
511.3744792,1.003442383
511.7348141,1.005346565
512.0951062,0.998518494
512.4553555,0.99795225
512.815562,1.003157771
513.1757256,1.00432982
513.5358464,1.005126896
513.8959243,1.004845535
514.2559594,0.995914267
514.6159516,1.001887547
514.975901,0.998052546
515.3358074,1.005431254
515.695671,1.00063924
516.0554916,0.99612783
516.4152694,0.997862705
516.7750042,1.003862718
517.1346961,1.002788998
517.4943451,1.002155908
517.8539511,1.00013727
518.2135142,1.007254574
518.5730343,0.999057939
518.9325114,0.998053497
519.2919456,1.001158224
519.6513367,0.997596522
520.0106849,1.001147526
520.3699901,1.001371065
520.7292522,1.002248803
521.0884713,0.999701342
521.4476474,0.996316972
521.8067804,1.00038551
522.1658704,1.001644734
522.5249174,0.998167076
522.8839212,1.000792112
523.242882,0.999613717
523.6017997,0.997855985
523.9606743,1.002272079
524.3195058,0.996560418
524.6782942,0.998897703
525.0370394,0.998172708
525.3957416,0.999369583
525.7544006,0.995670109
526.1130164,0.99892803
526.4715891,0.997579601
526.8301186,0.996393033
527.188605,1.00032668
527.5470481,0.998397331
527.9054481,1.002568889
528.2638049,1.003767366
528.6221184,0.998360334
528.9803888,0.996577374
529.3386159,0.997010618
529.6967998,1.000622998
530.0549404,0.997975524
530.4130378,0.993190284
530.7710919,0.998956045
531.1291027,0.993595939
531.4870703,0.990309452
531.8449946,0.992794161
532.2028756,0.996172412
532.5607132,0.997142668
532.9185076,0.998827681
533.2762586,0.995511751
533.6339663,0.992255763
533.9916307,0.991537095
534.3492517,0.989232463
534.7068293,0.992507011
535.0643636,0.992898809
535.4218545,0.9958977
535.779302,0.994536669
536.1367061,0.992449013
536.4940669,0.994659004
536.8513842,0.98850186
537.208658,0.988701045
537.5658885,0.988820391
537.9230755,0.985877783
538.2802191,0.988116831
538.6373192,0.988810542
538.9943758,0.994391869
539.351389,0.992731095
539.7083587,0.989191944
540.0652849,0.991442956
540.4221676,0.992414536
540.7790068,0.985113025
541.1358024,0.986700814
541.4925546,0.986329179
